PlotID,YearMeas,AgeMeas,BA,height,stem_count,SI,ba_sd,height_sd,stem_count_sd,SI_sd,FID,Installation,PLOT,PlantDensity,Replicate,Culture,Treatment,Thinning
1,1988,30,93.00997663,42.10204082,499.5287465,37.65990172,1,0.654729696,10,1,323,0,61081,0,0,0,0,1
1,1991,33,88.77271725,45.65853659,414.7031103,37.65990172,1,0.710036834,10,1,323,0,61081,0,0,0,0,1
1,1994,36,86.26675589,48.63888889,367.5777568,37.65990172,1,0.756384354,10,1,323,0,61081,0,0,0,0,1
1,2000,42,70.83517436,52.72,245.0518379,37.65990172,1,0.819849796,10,1,323,0,61081,0,0,0,0,1
1,1982,24,117.9863152,57.19512195,424.128181,57.79111123,1,0.889442509,10,1,323,0,61091,0,0,0,0,1
1,1988,30,130.8528204,64.22222222,377.0028275,57.79111123,1,0.998721088,10,1,323,0,61091,0,0,0,0,1
1,1991,33,132.8663282,69.47058824,348.7276155,57.79111123,1,1.080338535,10,1,323,0,61091,0,0,0,0,1
1,1994,36,137.9579276,74.4375,329.8774741,57.79111123,1,1.157579082,10,1,323,0,61091,0,0,0,0,1
1,2000,42,131.7292643,79.37037037,273.32705,57.79111123,1,1.234290249,10,1,323,0,61091,0,0,0,0,1
1,1982,27,88.70177927,40.20754717,537.2290292,37.84371588,1,0.625268387,10,1,323,0,61111,0,0,0,0,1
1,1982,27,127.3825137,60.51282051,405.2780396,57.36488836,1,0.941036107,10,1,323,0,61121,0,0,0,0,1
1,1982,18,159.2380442,49.61176471,832.5791855,62.30970946,1,0.771513565,10,1,324,0,11221,0,0,0,0,1
1,1988,24,177.9119479,61.43478261,687.7828054,62.30970946,1,0.955373558,10,1,324,0,11221,0,0,0,0,1
1,1991,27,172.9687977,64.72413793,579.1855204,62.30970946,1,1.00652639,10,1,324,0,11221,0,0,0,0,1
1,1982,21,165.6500726,58.02739726,705.8823529,65.54342314,1,0.902385239,10,1,324,0,11251,0,0,0,0,1
1,1996,12,117.6378714,51.27027027,410,86.42494549,1,0.797305019,10,1,325,0,40891,570,0,0,0,1
1,1981,9,48.4620624,25.76086957,490,51.42918899,1,0.400607808,10,1,325,0,41011,570,0,0,0,1
1,1987,15,83.492559,38.97674419,470,51.42918899,1,0.606128144,10,1,325,0,41011,570,0,0,0,1
1,1990,18,97.9680204,43.19047619,460,51.42918899,1,0.671655977,10,1,325,0,41011,570,0,0,0,1
1,1993,21,112.9692474,45.0952381,460,51.42918899,1,0.701276968,10,1,325,0,41011,570,0,0,0,1
1,1981,12,67.7599506,32.45652174,470,58.24193821,1,0.504732032,10,1,325,0,41041,570,0,0,0,1
1,1982,15,145.477269,46.73214286,610,64.92928176,1,0.726732507,10,1,326,0,41101,930,0,0,0,1
1,1988,21,134.3434734,57.46153846,430,64.92928176,1,0.893585557,10,1,326,0,41101,930,0,0,0,1
1,1982,18,147.0736548,54.76595745,510,69.10188622,1,0.851666522,10,1,326,0,41131,930,0,0,0,1
1,1981,22,145.1942064,65.425,430,70.65520542,1,1.01742551,10,1,327,0,41041,1140,0,0,0,1
